epoch, lr, train_loss, train_iou, ema_val_iou, val_map, ema_val_map
0, 0.00010, 0.38878, 0.46633, 0.40463, 0.42116, 0.39371
1, 0.00010, 0.35730, 0.49429, 0.47949, 0.43086, 0.41528
2, 0.00010, 0.34954, 0.50056, 0.49847, 0.42787, 0.42310
3, 0.00010, 0.34845, 0.49907, 0.50444, 0.43176, 0.42916
4, 0.00009, 0.34566, 0.49989, 0.50520, 0.43475, 0.43256
5, 0.00009, 0.34176, 0.50506, 0.50537, 0.43148, 0.43443
6, 0.00009, 0.34057, 0.50587, 0.50540, 0.43355, 0.43522
7, 0.00008, 0.33905, 0.50733, 0.50636, 0.43581, 0.43603
8, 0.00008, 0.33431, 0.50945, 0.50590, 0.43256, 0.43907
9, 0.00007, 0.33125, 0.51535, 0.50566, 0.43699, 0.43889
10, 0.00007, 0.32750, 0.51394, 0.50506, 0.43068, 0.43960
11, 0.00006, 0.32581, 0.52145, 0.50440, 0.43420, 0.43743
12, 0.00006, 0.32264, 0.51835, 0.50436, 0.43638, 0.43860
13, 0.00005, 0.32255, 0.51884, 0.50445, 0.43345, 0.43766
14, 0.00005, 0.32171, 0.51499, 0.50414, 0.43075, 0.43682
15, 0.00004, 0.31265, 0.52389, 0.50358, 0.42934, 0.43540
