epoch, lr, train_loss, train_iou, ema_val_iou, val_map, ema_val_map
0, 0.00010, 0.40588, 0.45173, 0.36515, 0.40858, 0.38892
1, 0.00010, 0.36299, 0.47972, 0.44246, 0.42154, 0.40780
2, 0.00010, 0.35600, 0.48787, 0.47994, 0.42620, 0.41724
3, 0.00010, 0.35433, 0.48766, 0.49389, 0.43074, 0.42251
4, 0.00009, 0.34918, 0.49331, 0.49918, 0.42955, 0.42821
5, 0.00009, 0.34886, 0.49282, 0.50141, 0.43257, 0.42921
6, 0.00009, 0.34315, 0.49957, 0.50257, 0.43298, 0.43190
7, 0.00008, 0.34026, 0.50358, 0.50306, 0.43283, 0.43489
8, 0.00008, 0.33839, 0.50451, 0.50375, 0.43638, 0.43691
9, 0.00007, 0.33833, 0.50538, 0.50389, 0.43971, 0.43875
10, 0.00007, 0.33626, 0.50404, 0.50375, 0.43337, 0.43875
11, 0.00006, 0.33195, 0.50992, 0.50292, 0.43071, 0.43673
12, 0.00006, 0.33020, 0.51263, 0.50255, 0.43338, 0.43579
13, 0.00005, 0.32628, 0.51510, 0.50193, 0.43366, 0.43531
14, 0.00005, 0.32957, 0.51291, 0.50166, 0.43276, 0.43446
15, 0.00004, 0.32396, 0.51353, 0.50196, 0.42932, 0.43457
16, 0.00004, 0.32358, 0.51788, 0.50201, 0.42946, 0.43278
17, 0.00003, 0.32303, 0.51496, 0.50207, 0.43052, 0.43157
18, 0.00003, 0.32166, 0.51820, 0.50230, 0.42961, 0.43191
Best epoch 9 | mAP max: 0.4387480318546295
