epoch, lr, train_iou, train_loss, val_iou, val_loss
0, 0.00010, 0.30998, 0.46020, 0.34093, 0.41848
1, 0.00010, 0.35554, 0.41293, 0.34321, 0.41373
2, 0.00009, 0.35617, 0.41078, 0.34445, 0.41617
3, 0.00008, 0.36483, 0.40206, 0.35040, 0.41055
4, 0.00007, 0.36693, 0.39865, 0.35396, 0.40712
5, 0.00006, 0.37365, 0.39348, 0.35196, 0.40957
6, 0.00005, 0.37444, 0.38952, 0.35071, 0.41257
7, 0.00004, 0.37947, 0.38591, 0.35117, 0.40891
8, 0.00003, 0.39188, 0.37514, 0.35319, 0.41171
9, 0.00002, 0.38566, 0.37842, 0.35254, 0.41209
10, 0.00001, 0.39439, 0.37279, 0.35161, 0.41270
11, 0.00000, 0.39476, 0.37163, 0.35035, 0.41377
12, 0.00000, 0.39620, 0.37029, 0.35173, 0.41165
13, 0.00000, 0.39521, 0.36894, 0.35092, 0.41305
Best epoch 4 | val loss min: 0.40712409042698605
