epoch, lr, train_iou, train_loss, val_iou, val_loss
0, 0.00010, 0.12411, 0.59406, 0.24397, 0.53520
1, 0.00010, 0.32140, 0.46617, 0.32669, 0.45561
2, 0.00009, 0.34563, 0.42808, 0.34408, 0.42794
3, 0.00008, 0.35215, 0.41453, 0.34981, 0.41507
4, 0.00007, 0.36234, 0.40259, 0.34570, 0.41479
5, 0.00006, 0.37044, 0.39533, 0.35344, 0.41019
6, 0.00005, 0.37062, 0.39260, 0.35284, 0.41234
7, 0.00004, 0.37589, 0.38695, 0.35428, 0.40971
8, 0.00003, 0.37385, 0.38725, 0.35395, 0.40923
9, 0.00002, 0.38063, 0.38174, 0.35243, 0.41051
10, 0.00001, 0.38345, 0.37861, 0.35054, 0.41132
11, 0.00000, 0.38968, 0.37416, 0.35092, 0.41260
12, 0.00000, 0.38482, 0.37732, 0.35347, 0.40901
13, 0.00000, 0.38847, 0.37475, 0.35200, 0.41101
14, 0.00000, 0.38004, 0.37877, 0.35488, 0.40805
Best epoch 14 | val loss min: 0.4080503294833029
