epoch, lr, train_loss, val_map, ema_val_map
0, 0.00008, 0.32601, 0.55787, 0.49738
1, 0.00008, 0.32721, 0.54581, 0.54528
2, 0.00008, 0.32299, 0.56500, 0.58067
3, 0.00007, 0.33100, 0.56878, 0.57826
4, 0.00007, 0.32372, 0.55918, 0.58194
5, 0.00006, 0.32320, 0.55885, 0.58412
6, 0.00006, 0.32587, 0.56998, 0.58298
7, 0.00005, 0.32253, 0.55806, 0.58544
8, 0.00004, 0.32168, 0.56448, 0.58450
9, 0.00004, 0.32051, 0.57334, 0.58316
10, 0.00003, 0.31968, 0.56830, 0.58332
11, 0.00002, 0.32088, 0.56885, 0.58750
12, 0.00002, 0.31601, 0.57405, 0.57462
13, 0.00001, 0.31654, 0.58234, 0.57318
14, 0.00001, 0.31495, 0.56762, 0.57458
15, 0.00000, 0.31773, 0.57728, 0.57419
16, 0.00000, 0.31809, 0.58259, 0.57718
17, 0.00000, 0.31642, 0.57641, 0.57788
18, 0.00000, 0.31561, 0.57759, 0.57603
19, 0.00000, 0.31434, 0.57930, 0.57743
Best epoch 11 | mAP max: 0.5874958038330078
