epoch, lr, train_loss, val_map
0, 0.00010, 0.30746, 0.54783
1, 0.00010, 0.27520, 0.54737
2, 0.00009, 0.27229, 0.57025
3, 0.00009, 0.27249, 0.56848
4, 0.00008, 0.27345, 0.58466
5, 0.00008, 0.27332, 0.60805
6, 0.00007, 0.27536, 0.59788
7, 0.00006, 0.26524, 0.60303
8, 0.00005, 0.26181, 0.57556
9, 0.00005, 0.25905, 0.60914
10, 0.00004, 0.25962, 0.60760
11, 0.00003, 0.25897, 0.61310
12, 0.00002, 0.26084, 0.61999
13, 0.00002, 0.25713, 0.61415
14, 0.00001, 0.25496, 0.62209
15, 0.00001, 0.25393, 0.61633
16, 0.00000, 0.25210, 0.61745
17, 0.00000, 0.25105, 0.61926
18, 0.00000, 0.25108, 0.61836
19, 0.00000, 0.24974, 0.61727
Best epoch 14 | val loss min: 0.6220912337303162
